mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
A Taste of Honey,https://en.wikipedia.org/wiki/A_Taste_of_Honey_(film),Tony Richardson,Tony Richardson,NA,Dora Bryan;Robert Stephens;Murray Melvin;Paul Danquah;Rita Tushingham,John Addison,Walter Lassally,Antony Gibbs,British Lion Films,15 September 1961 (1961-09-15),100 minutes,United Kingdom,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Tasteofhoney1961.jpg/250px-Tasteofhoney1961.jpg,"A Taste of Honey is a 1961 British film adaptation of the play of the same name by Shelagh Delaney. Delaney wrote the screenplay herself, aided by director Tony Richardson, who had previously directed the play on the stage. It is an exemplar of a gritty genre of British film that has come to be called kitchen sink realism."
Taxi zum Klo,https://en.wikipedia.org/wiki/Taxi_zum_Klo,Frank Ripploh,NA,Frank Ripploh,Frank Ripploh;Bernd Broaderup,Hans Wittstatt,Horst Schier,Gela-Marina Runne;Matthias von Gunten,Promovision International (USA),1981 (1981),95 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/TaxiZumKlo.jpg/220px-TaxiZumKlo.jpg,"Taxi zum Klo is a 1981 film written by, directed by, and starring Frank Ripploh. The story of a schoolteacher and the contrasts between his public and private lives, the film documents pre-AIDS gay culture in West Berlin in the early 1980s. Ripploh has stated that much of the film was autobiographical. The name literally means Taxi to the Toilet (or ""Taxi to the John"", etc.), that being a place for casual gay sex.[1][2]"
Tchindas,https://en.wikipedia.org/wiki/Tchindas,Pablo García Pérez de Lara;Marc Serena,Yolanda Olmos;Marc Serena,NA,Tchinda Andrade;Elvis Tolentino;Edinha Pitanga,Cesária Évora,Pablo García Pérez de Lara,Pablo García Pérez de Lara,Cat&amp;Docs,"July 15, 2015 (2015-07-15) (Outfest Film Festival Los Angeles)",94 minutes,Spain;Cabo Verde,Cape Verdean Creole,NA,Tchindas is a 2015 Spanish-Cape Verdean documentary film directed by Pablo García Pérez de Lara and Marc.[1][2][3][4][5][6] The film premiered at the Outfest Los Angeles 2015 where it received a Grand Jury Award.[7][8][9]
Tea and Sympathy,https://en.wikipedia.org/wiki/Tea_and_Sympathy_(film),Vincente Minnelli,Pandro S. Berman,Robert Anderson,Deborah Kerr;John Kerr;Leif Erickson;Edward Andrews,Adolph Deutsch,John Alton,Ferris Webster,Metro-Goldwyn-Mayer,"September 27, 1956 (1956-09-27)",122 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/8/8f/Tea_and_Sympathy_poster.jpg,"Tea and Sympathy (1956) is an adaptation of Robert Anderson's 1953 stage play directed by Vincente Minnelli and produced by Pandro S. Berman for MGM in Metrocolor. The music score was by Adolph Deutsch and the cinematography by John Alton. Deborah Kerr, John Kerr (no relation) and Leif Erickson re-created their original stage roles. Also in the cast were Edward Andrews, Darryl Hickman, Norma Crane, Tom Laughlin, and Dean Jones."
Tell No One,https://en.wikipedia.org/wiki/Come_non_detto,Ivan Silvestrini,NA,Roberto Proia,Josafat Vagni,Leonardo Rosi,Rocco Marra,Alessia Scarso,NA,"September 7, 2012 (2012-09-07)",81 min,Italy,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Tell_No_One_%282012_film%29.jpg/220px-Tell_No_One_%282012_film%29.jpg,"Tell No One (Italian: Come non detto) is a 2012 Italian comedy film, directed by Ivan Silvestrini.[1][2] It is based on a novel with the same title written by Roberto Proia.[3]"
Tell No One,https://en.wikipedia.org/wiki/Tell_No_One,Guillaume Canet,Luc Besson;Pierre-Ange Le Pogam;Alain Attal,NA,François Cluzet;Marie-Josée Croze;Marina Hands;Kristin Scott Thomas;Nathalie Baye,Matthieu Chedid,Christophe Offenstein,Hervé de Luze,EuropaCorp. Distribution (France);Music Box Films (US),1 November 2006 (2006-11-01) (France),131 minutes [1],France,French,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Tell_No_One_%282006%29.jpg/215px-Tell_No_One_%282006%29.jpg,"Tell No One (French: Ne le dis à personne) is a 2006 French thriller film directed by Guillaume Canet and based on the novel of the same name by Harlan Coben. Written by Canet and Philippe Lefebvre and starring François Cluzet, the film won four categories at the 2007 César Awards in France: Best Director (Guillaume Canet), Best Actor (François Cluzet), Best Editing and Best Music Written for a Film."
Telstar: The Joe Meek Story,https://en.wikipedia.org/wiki/Telstar:_The_Joe_Meek_Story,Nick Moran,David Reid;Adam Bohling;Simon Jordan,"James Hicks, Nick Moran",Con O'Neill;Kevin Spacey;Pam Ferris;JJ Feild;James Corden;Tom Burke;Ralf Little;Sid Mitchell,"Ilan Eshkeri, with songs by Joe Meek and others",Peter Wignall,Alex Marsh,G2 Pictures,25 October 2008 (2008-10-25) (London Film Festival);19 June 2009 (2009-06-19) (United Kingdom),119 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Telstarposter.jpg/220px-Telstarposter.jpg,"Telstar: The Joe Meek Story is a 2008 film adaptation of James Hicks' and Nick Moran's play Telstar, about record producer Joe Meek, which opened at the New Ambassadors Theatre in London’s West End in June 2005.[1] The film is directed by Nick Moran and stars Con O'Neill, who also played Joe Meek in the original play, while Kevin Spacey plays Meek's business partner, Major Wilfred Banks."
Tempting Heart,https://en.wikipedia.org/wiki/Tempting_Heart,Sylvia Chang,NA,NA,Takeshi Kaneshiro;Gigi Leung;Karen Mok;Sylvia Chang,NA,NA,NA,NA,1999 (Hong Kong),NA,Hong Kong,Cantonese,https://upload.wikimedia.org/wikipedia/en/2/2f/Tempting_Heart_%28film%29.jpg,"Tempting Heart (Chinese: 心動) is a 1999 movie, directed and co-written by Sylvia Chang, starring Takeshi Kaneshiro and Gigi Leung as a pair of onscreen lovers."
Tender Fictions,https://en.wikipedia.org/wiki/Tender_Fictions,Barbara Hammer,NA,NA,Barbara Hammer,Catherine Jauniaux;Monika;Pamela Z,Amy C. Halpern;Barbara Hammer,Barbara Hammer,NA,1996 (1996),58 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/c/c0/Tender_Fictions_%28film_poster%29.jpg,"Tender Fictions is a 1996 autobiographical documentary film directed by American experimental filmmaker Barbara Hammer. It is the second of a trilogy of documentary films that includes Nitrate Kisses and History Lessons.[1] Together, the three films are sometimes known as the ""History trilogy"". Tender Fictions details Hammer's life and her attempts to ""construct"" a self. The film was nominated for a prize at the 1996 Sundance Film Festival."
The Tenderness of Wolves,https://en.wikipedia.org/wiki/The_Tenderness_of_Wolves_(film),Die Zärtlichkeit der Wölfe,Ulli Lommel,NA,Kurt Raab[1],Kurt Raab;Jeff Roden;Margit Carstensen;Hannelore Tiefenbrunner,Peer Raben,Jürgen Jürges[1],Tango-Film[1],"Cinegate (1976, UK)","June 29, 1973 (1973-06-29)",82 minutes[1],West Germany[1],https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Die_Z%C3%A4rtlichkeit_der_W%C3%B6lfe.jpg/250px-Die_Z%C3%A4rtlichkeit_der_W%C3%B6lfe.jpg,"The Tenderness of Wolves, (German: Die Zärtlichkeit der Wölfe) is a 1973 West German horror film directed by Ulli Lommel. The story is based on the crimes of German serial killer and cannibal Fritz Haarmann. It was written by Kurt Raab, who also stars in the film, and produced by Rainer Werner Fassbinder. It was entered into the 23rd Berlin International Film Festival."
Tenue de soirée,https://en.wikipedia.org/wiki/Tenue_de_soir%C3%A9e,Bertrand Blier,René Cleitman,Bertrand Blier,Gérard Depardieu;Michel Blanc;Miou-Miou;Jean-Pierre Marielle,Serge Gainsbourg,Jean Penzer,Claudine Merlin,Acteurs Auteurs Associés,23 April 1986 (1986-04-23),84 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Tenue_de_soir%C3%A9e.jpg/220px-Tenue_de_soir%C3%A9e.jpg,Tenue de soirée (also titled Ménage) is a 1986 French comedy-drama film directed by Bertrand Blier. It was entered into the 1986 Cannes Film Festival where Michel Blanc won the award for Best Actor.[2]
Teorema,https://en.wikipedia.org/wiki/Teorema_(film),Pier Paolo Pasolini,Manolo Bolognini;Franco Rossellini,Pier Paolo Pasolini,Terence Stamp;Laura Betti;Silvana Mangano;Massimo Girotti;Anne Wiazemsky;Ninetto Davoli,Ennio Morricone (Score);Wolfgang Amadeus Mozart;Various composers,Giuseppe Ruzzolini,Nino Baragli,Euro International Film,4 September 1968 (1968-09-04) (Venice);7 September 1968 (1968-09-07) (Italy),98 minutes[1],Italy,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Teorema_film_Pier_Paolo_Pasolini_xlg.jpg/220px-Teorema_film_Pier_Paolo_Pasolini_xlg.jpg,"Teorema is a 1968 Italian art-house film written and directed by Pier Paolo Pasolini and starring Terence Stamp, Laura Betti, Silvana Mangano, Massimo Girotti, and Anne Wiazemsky. It was the first time Pasolini worked primarily with professional actors. In this film, an upper-class Milanese family is introduced to, and then abandoned by, a divine force. Two prevalent motifs are the desert and the timelessness of divinity."
Terrifying Girls' High School: Lynch Law Classroom,https://en.wikipedia.org/wiki/Terrifying_Girls%27_High_School:_Lynch_Law_Classroom,Norifumi Suzuki,Kanji Amao,Tatsuhiko Kamoi,Reiko Ike;Miki Sugimoto,Masao Yagi,Jubei Suzuki,Kozo Horiike,Toei,"March 31, 1973 (1973-03-31)",88 min.,Japan,Japanese,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/TGHS_Lynch_Law_Classroom_poster.jpg/220px-TGHS_Lynch_Law_Classroom_poster.jpg,"Terrifying Girls' High School: Lynch Law Classroom (恐怖女子高校　暴行リンチ教室, Kyōfu joshikōkō: bōkō rinchi kyōshitsu) is a 1973 Japanese film in the sukeban (delinquent girl) subgenre of Toei's ""Pinky violence"" style of Pink film. The second in the Terrifying Girls' High School series, this was the last entry in the series directed by Norifumi Suzuki and to pair Reiko Ike and Miki Sugimoto. It is notable as the first film to depict an omorashi fetish scene to a theatrical audience, in which a girl is forced to swallow a lot of water and then is denied to go to the toilet which ended in wetting herself in class."
Testosterone,https://en.wikipedia.org/wiki/Testosterone_(2003_film),David Moreton,David Moreton,Dennis Hensley;James Robert Baker (novel),"David Sutcliffe;Antonio Sabato, Jr.;Jennifer Coolidge",Marco D'Ambrosio,Ken Kelsch,Mallory Gottlieb;Roger Schulte,NA,"March 8, 2003 (2003-03-08) (U.S.)",105 minutes,United States;Argentina,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Testosteronex.jpg/220px-Testosteronex.jpg,"Testosterone (2003) is a film adaption from James Robert Baker's novel Testosterone. The film is directed by David Moreton and stars David Sutcliffe, Antonio Sabato, Jr., and Jennifer Coolidge."
Thank You Mask Man,https://en.wikipedia.org/wiki/Thank_You_Mask_Man,Jeff Hale,John Magnuson,Lenny Bruce,Lenny Bruce,NA,NA,Tom Bullock,NA,"September 28, 1971",8 min.,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Thank-you-mask-man.jpg/220px-Thank-you-mask-man.jpg,"Thank You Mask Man is an animated short film based upon a comedy routine by Lenny Bruce involving The Lone Ranger and Tonto. The film was produced by John Magnuson, and directed by Jeff Hale."
That Boy,https://en.wikipedia.org/wiki/That_Boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"That Boy is a 1974 gay porn film written, produced and directed by Peter Berlin, his first and only feature-length pornographic film. It is also the second and last feature-length porn film in which he appeared as an actor following the huge success of Nights in Black Leather. Although he is credited as director, producer and actor under the name Peter Burian, following the threat of a lawsuit from another actor named Peter Burian he changed his name to Peter Berlin alnd became hugely popular under the new name."
That Certain Summer,https://en.wikipedia.org/wiki/That_Certain_Summer,Lamont Johnson,NA,Richard Levinson;William Link,Hal Holbrook;Martin Sheen;Joe Don Baker,NA,Edward M. Abroms,NA,NA,NA,Universal Television,NA,NA,NA,"That Certain Summer is a 1972 American television movie directed by Lamont Johnson. The teleplay by Richard Levinson and William Link was the first to deal sympathetically with homosexuality. Produced by Universal Television, it was broadcast as an ABC Movie of the Week on November 1, 1972. A novelization of the film written by Burton Wohl was published by Bantam Books."
That Man: Peter Berlin,https://en.wikipedia.org/wiki/That_Man:_Peter_Berlin,Jim Tushinski,Lawrence Helman;Jim Tushinski,NA,Peter Berlin,Jack Curtis Dubowsky,Jim Tushinski,NA,NA,2005,80 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/That-man-peter-berlin.gif/220px-That-man-peter-berlin.gif,That Man: Peter Berlin is a 2005 documentary directed by Jim Tushinski about the popular gay icon Peter Berlin. The documentary had its world premiere at the 2005 Berlin International Film Festival (Panorama Section).
That's What I Am,https://en.wikipedia.org/wiki/That%27s_What_I_Am,Michael Pavone,Michael Pavone,Michael Pavone,Ed Harris;Chase Ellison;Amy Madigan,James Raymond,Kenneth Zunder,Marc Pollon,Samuel Goldwyn Films,"April 29, 2011 (2011-04-29);(limited)",NA,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Thats_what_i_am_review.jpg/220px-Thats_what_i_am_review.jpg,"That's What I Am is a 2011 comedy-drama film directed by Michael Pavone and starring Ed Harris and Chase Ellison.[2] It received a limited release on April 29, 2011, and was later released on DVD on July 15, 2011."
Théo et Hugo dans le même bateau,https://en.wikipedia.org/wiki/Paris_05:59:_Th%C3%A9o_%26_Hugo,Olivier Ducastel;Jacques Martineau,Emmanuel Chaumet,Olivier Ducastel;Jacques Martineau,Geoffrey Couët;François Nambot,Karelle-Kuntur,Manuel Marmier,Pierre Deschamps,Epicentre Films,15 February 2016 (2016-02-15) (Berlin);27 April 2016 (2016-04-27) (France),97 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Th%C3%A9o_%26_Hugo_dans_le_m%C3%AAme_bateau.jpg/220px-Th%C3%A9o_%26_Hugo_dans_le_m%C3%AAme_bateau.jpg,"Paris 05:59: Théo & Hugo (French: Théo et Hugo dans le même bateau), also known as Theo and Hugo in some territories, is a 2016 French drama film directed by Olivier Ducastel and Jacques Martineau. It was shown in the Panorama section at the 66th Berlin International Film Festival.[1]The film won the Audience Award at the Berlin Festival's 2016 Teddy Awards.[2]"
These Three,https://en.wikipedia.org/wiki/These_Three,William Wyler,Samuel Goldwyn,Lillian Hellman,Miriam Hopkins;Merle Oberon;Joel McCrea;Bonita Granville,Alfred Newman,Gregg Toland,Daniel Mandell,United Artists,"March 18, 1936 (1936-03-18)",93 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/TheseThreePoster.jpg/220px-TheseThreePoster.jpg,These Three is a 1936 American drama film directed by William Wyler. The screenplay by Lillian Hellman is based on her 1934 play The Children's Hour.
The Children's Hour,https://en.wikipedia.org/wiki/The_Children%27s_Hour_(film),William Wyler,William Wyler,NA,Shirley MacLaine;Audrey Hepburn;James Garner,Alex North,Franz Planer,Robert Swink,United Artists,"December 19, 1961 (1961-12-19)",107 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/ChildrensHourPoster.jpg/220px-ChildrensHourPoster.jpg,"The Children's Hour (released as The Loudest Whisper in the United Kingdom) is a 1961 American drama film directed by William Wyler. The screenplay by John Michael Hayes is based on the 1934 play of the same title by Lillian Hellman. The film stars Audrey Hepburn, Shirley MacLaine, and James Garner."
Thieves,https://en.wikipedia.org/wiki/Thieves_(1996_film),André Téchiné,Alain Sarde,André Téchiné;Gilles Taurand;Michel Alexandre,Daniel Auteuil;Catherine Deneuve;Laurence Côte,Philippe Sarde,Jeanne Lapoirie,Martine Giordano,NA,May 1996 (1996-05) (Cannes);21 August 1996 (1996-08-21) (France),117 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Le_voleurs.jpg/220px-Le_voleurs.jpg,"Thieves (French: Les Voleurs) is a 1996 French drama film directed by André Téchiné, starring Daniel Auteuil, Catherine Deneuve and Laurence Côte.[2] The plot follows a cynical police officer, who comes from a family of thieves, and a lonely philosophy professor, both romantically involved with a self-destructive petty criminal. With a puzzling structure, the story is told through a series of flashbacks presented from four different perspectives."
The Thin Pink Line,https://en.wikipedia.org/wiki/The_Thin_Pink_Line,Joe Dietl;Michael Irpino,Steve Bulzoni,Joe Dietl;Michael Irpino,Jennifer Aniston;Will Ferrell;Molly Shannon;Mike Myers;David Schwimmer;Tate Donovan;Margaret Cho;David Cross;Illeana Douglas,Steve Tyrell,NA,NA,NA,1999 (1999),107 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/1/1b/Thethinpinklinetp.gif,The Thin Pink Line is a 1998 mockumentary directed by Joe Dietl and Michael Irpino.[1]
Things You Can Tell Just by Looking at Her,https://en.wikipedia.org/wiki/Things_You_Can_Tell_Just_by_Looking_at_Her,Rodrigo García,Jon Avnet;Lisa Lindstrom;Marsha Oglesby,Rodrigo García,Glenn Close;Cameron Diaz;Calista Flockhart;Kathy Baker;Amy Brenneman;Valeria Golino;Holly Hunter;Matt Craven;Gregory Hines;Miguel Sandoval,Edward Shearmur,Emmanuel Lubezki,Amy E. Duddleston,United Artists,"January 22, 2000 (2000-01-22) (Sundance Film Festival);March 11, 2001 (2001-03-11) (Showtime)",109 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/ThingsYou_movie_poster.jpg/200px-ThingsYou_movie_poster.jpg,Things You Can Tell Just by Looking at Her is a film written and directed by Rodrigo García starring an ensemble cast. The film (García's directing debut) was shown at the 2000 Cannes Film Festival and won the Un Certain Regard Award.[1]Holly Hunter was nominated for the 2001 Emmy in the supporting actress category.
